2018-03-21 12:32:31 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:32:34 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:32:34 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:32:35 EXEC SPC_049_INPUT_OUTPUT_FND1 '','','','','','','','1','10';
2018-03-21 12:32:36 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 12:32:44 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-21 12:32:44 EXEC SPC_GET_CONSTANT '';
2018-03-21 12:32:51 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:32:51 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:32:55 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:32:55 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:33:27 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:33:27 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:33:30 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
v';
2018-03-21 12:33:31 EXEC SPC_049_INPUT_OUTPUT_FND1 '','','','','','','','1','10';
2018-03-21 12:33:32 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 12:36:02 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:36:02 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:36:02 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 12:39:13 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:39:13 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:39:13 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 12:41:45 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:41:45 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:41:45 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 12:42:50 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:42:50 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:42:50 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
